targets, factors
Cholesterol , ( Desmosterol )  | ( Septdehydrocholesterol ) 
Desmosterol , ( Lanosterol ) 
Dimethyl_allyl_pyrophosphate , ( Isopentenyl_pyrophosphate ) 
mSREBP , ( pSREBP ) 
pSREBP , ( SREBP_SCAP ) 
Acetyl_CoA_acetyltransferase_RNA , ( Acetyl_CoA_acetyltransferase_gene ) 
Septdehydrocholesterol , ( Lanosterol ) 
Cyp51 , ( Cyp51_RNA ) 
Statins , ( Statins ) 
Cyp51_RNA , ( Cyp51_gene ) 
HMG_CoA_Synthase , ( HMG_CoA_Synthase_RNA ) 
HMG_CoA_Synthase_gene , ( mSREBP ) 
Squaline , ( Farnesyl_pyrophosphate ) 
HMG_CoA_Reductase_RNA , ( HMG_CoA_Reductase_gene ) 
Lanosterol , ( Squaline ) 
Geranyl_pyrophosphate , ( Dimethyl_allyl_pyrophosphate )  | ( Isopentenyl_pyrophosphate ) 
Farnesyl_pyrophosphate , ( ( Geranyl_pyrophosphate  ) & ! ( FPP_Synthase  ) ) 
Insig_SREBP_SCAP ,  ! ( ( Cholesterol ) )
HMG_CoA_Reductase , ( ( HMG_CoA_Reductase_RNA  ) & ! ( Statins  ) ) 
HMG_CoA_Reductase_gene , ( mSREBP ) 
Mevalonyl_pyrophosphate , ( Mevalonic_Acid ) 
Cyp51_gene , ( mSREBP ) 
Acetyl_CoA , ( Acetyl_CoA ) 
Acetyl_CoA_acetyltransferase_gene , ( mSREBP ) 
HMG_CoA , ( Acetoacetyl_CoA & ( ( ( HMG_CoA_Synthase  & Acetyl_CoA ) ) )    ) 
FPP_Synthase_gene , ( mSREBP ) 
FPP_Synthase_RNA , ( FPP_Synthase_gene ) 
Acetoacetyl_CoA , ( Acetyl_CoA & ( ( ( Acetyl_CoA_acetyltransferase ) ) )    ) 
HMG_CoA_Synthase_RNA , ( HMG_CoA_Synthase_gene ) 
FPP_Synthase , ( FPP_Synthase_RNA ) 
Mevalonic_Acid , ( HMG_CoA & ( ( ( HMG_CoA_Reductase ) ) )    ) 
SREBP_SCAP , ( ( Insig_SREBP_SCAP  ) & ! ( Statins  ) ) 
Isopentenyl_pyrophosphate , ( Mevalonyl_pyrophosphate ) 
Acetyl_CoA_acetyltransferase , ( Acetyl_CoA_acetyltransferase_RNA ) 
