targets, factors
Adenylate_cyclase , ( ( Dopamine_Receptor_1  ) & ! ( Dopamine_Receptor_2  ) ) 
Packaging_Proteins , ( Glutamate_Receptor ) 
Phospholipase_C , ( Dopamine_Receptor_2 ) 
COMT , ( Dopamine ) 
DARPP32 , ( ( Protein_Kinase_A  ) & ! ( Calcineurin  ) ) 
Protein_Kinase_A , ( Adenylate_cyclase ) 
Calcineurin , ( Calcium ) 
Glutamate , ( Glutamate ) 
Exocytosis , ( Packaging_Proteins ) 
Dopamine_Receptor_1 , ( Dopamine ) 
Tryosine_hydroxylase , ( Tryosine_hydroxylase ) 
Dopamine_Receptor_2 , ( Dopamine ) 
Calcium , ( Phospholipase_C )  | ( Glutamate_Receptor ) 
Glutamate_Receptor , ( ( Protein_Kinase_A & ( ( ( Glutamate ) ) )     ) & ! ( Protein_Phosphatase_1  ) ) 
Protein_Phosphatase_1 ,  ! ( ( DARPP32 ) )
Dopamine , ( ( Tryosine_hydroxylase  ) & ! ( COMT  ) ) 
